cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
FSR_1716,242.625,-53.748889,329.778,-1.593,7.43,0.27,4.14,-30.7,0.98,-4.407,0.029,-8.862,0.026,-0.11,1.76,0.23,-3.74,0.13,-0.21,0.01,182.51,0.98,-12.33,0.97,-115.33,0.97,2.35,0.1,4.9,0.13,0.3388313462468196,0.6758967655356883,0.4697055779952665,-0.17719989628015917,660.8866000000002,459.27446064385083,-169416.85665549967,-,-
Pal_14,242.7525,14.957778,28.746,42.192,73.58,1.63,68.55,72.3,0.14,-0.458,0.038,-0.414,0.037,0.23,-39.62,1.06,26.22,0.58,49.42,1.09,-99.22,9.79,77.43,12.14,122.42,9.68,3.75,0.92,500.0,0.0,nan,-0.4768172518273577,0.6330854869690576,-0.04832202629701607,-466.22820000000036,619.0260648173391,-46199.60831986952,other,H-E
Lynga_7,242.765213,-55.317776,328.769,-2.797,7.9,0.16,4.35,17.86,0.83,-3.836,0.061,-7.071,0.053,0.19,1.43,0.14,-4.09,0.08,-0.39,0.01,125.71,1.32,1.23,1.9,-89.33,2.11,1.79,0.07,4.38,0.08,0.4239590792537932,0.5276302966627866,0.382711023784772,-0.18574423778281202,515.9128,374.21186220824154,-177585.91041883788,in-situ,in-situ
NGC_6093,244.26004,-22.976084,352.673,19.463,10.34,0.12,3.95,10.93,0.39,-2.937,0.01,-5.577,0.01,-0.33,-1.49,0.11,-1.24,0.01,3.44,0.04,-9.1,0.4,-48.78,0.48,-62.97,0.47,0.87,0.07,4.07,0.07,0.5068380722053303,0.0627926860519086,0.28215971909550164,-0.18715928010103167,61.39820000000001,275.8935786032179,-178938.8007230639,in-situ,L-E
NGC_6121,245.896744,-26.525749,350.973,15.972,1.85,0.02,6.45,71.22,0.13,-12.511,0.007,-19.017,0.007,-0.21,6.42,0.02,-0.28,0.0,0.51,0.0,-56.21,0.13,45.28,0.06,-3.04,0.07,0.62,0.07,6.52,0.13,0.811972691913889,0.28120370964636626,0.024596530780374774,-0.17324761506763825,274.9588,24.050296477382563,-165638.1690055631,in-situ,L-E
NGC_6101,246.450485,-72.202194,317.746,-15.825,14.45,0.19,10.36,366.33,0.32,1.76,0.012,-0.252,0.012,0.07,-2.11,0.13,-9.35,0.12,-3.94,0.05,-297.01,0.63,83.88,0.67,-190.08,0.81,10.19,0.13,35.74,1.11,0.6095844320514563,-3.0211227237235843,2.294648032617992,-0.07913333930529041,-2954.0303000000004,2243.688997788998,-75657.61540040198,other,Seq/GS/E
NGC_6144,246.80777,-26.0235,351.929,15.701,8.15,0.13,2.5,194.79,0.58,-1.737,0.017,-2.624,0.016,-0.22,0.41,0.12,-1.1,0.02,2.21,0.03,-184.47,0.58,106.09,0.63,43.41,0.63,1.89,0.1,3.11,0.05,0.36501674985973614,-0.16304087562280123,0.5221573465963288,-0.1860870536699719,-159.42010000000002,510.56139199537023,-177913.66901934164,in-situ,L-E
NGC_6139,246.918466,-38.848782,342.366,6.939,10.04,0.45,3.51,24.41,0.95,-6.083,0.012,-2.705,0.012,-0.05,-1.32,0.43,-3.02,0.14,1.21,0.05,68.39,0.91,-29.37,0.63,130.82,0.59,1.32,0.23,3.58,0.3,0.435871669727128,0.2508776349011323,0.45105520723724696,-0.1925157178451589,245.30620000000002,441.03827318519643,-184059.97102017383,in-situ,L-E
Ter_3,247.162483,-35.339829,345.084,9.199,7.64,0.31,2.46,-135.76,0.57,-5.578,0.019,-1.748,0.018,-0.04,0.89,0.3,-1.94,0.08,1.22,0.05,181.97,0.58,113.2,0.65,89.05,0.67,2.4,0.05,2.88,0.08,0.16838497293456217,0.46407589459035203,0.3498390379895873,-0.19010846963170078,453.76980000000003,342.0698901865086,-181758.45485636723,in-situ,in-situ
NGC_6171,248.132752,-13.053778,3.373,23.011,5.63,0.08,3.74,-34.71,0.18,-1.936,0.007,-5.979,0.007,-0.02,3.0,0.07,0.3,0.0,2.2,0.03,-10.3,0.18,93.71,0.18,-57.7,0.18,1.21,0.03,3.83,0.03,0.4001926104410106,0.2906752515492874,0.2755102453539138,-0.19060045366328668,284.21999999999997,269.39177490042266,-182228.82978268323,in-situ,in-situ
